City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
247,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,55.4,100,75,4.47,broken clouds,0.0,0
248,Torbay,CA,47.67,-52.73,64.0,72,75,19.46,broken clouds,0.0,0
249,Lompoc,US,34.64,-120.46,55.4,87,90,4.68,overcast clouds,0.0,0
250,Payao,PH,10.18,122.95,78.75,83,98,2.39,light rain,0.71,0
251,Kiunga,PG,-6.12,141.29,72.82,98,86,1.63,moderate rain,1.62,0
252,Stokmarknes,NO,68.56,14.91,57.0,74,76,5.99,light rain,0.14,0
253,Inhambane,MZ,-23.86,35.38,71.6,56,40,18.34,scattered clouds,0.0,0
254,Shimoda,JP,34.67,138.95,66.99,94,100,1.99,overcast clouds,0.0,0
255,Kapoeta,SS,4.77,33.59,88.68,39,96,4.79,overcast clouds,0.0,0
256,Camacha,PT,33.08,-16.33,73.4,69,40,14.99,scattered clouds,0.0,0
257,Hirado,JP,33.36,129.55,73.0,89,100,8.79,overcast clouds,0.0,0
258,Chinsali,ZM,-10.54,32.08,79.38,32,2,8.01,clear sky,0.0,0
259,Bulaevo,KZ,54.91,70.44,71.71,70,48,7.61,scattered clouds,0.0,0
260,Kiruna,SE,67.86,20.23,53.6,71,20,9.17,few clouds,0.0,0
261,Carnarvon,AU,-24.87,113.63,66.2,88,0,8.05,clear sky,0.0,0
262,Bukama,CD,-9.2,25.85,97.86,17,12,5.32,few clouds,0.0,0
263,Saldanha,ZA,-33.01,17.94,64.4,45,0,21.92,clear sky,0.0,0
264,Lata,PT,40.16,-8.33,91.99,47,0,8.32,clear sky,0.0,0
265,Laguna,US,38.42,-121.42,64.4,59,1,3.36,clear sky,0.0,0
266,Kamenka,RU,51.32,42.77,82.29,59,0,8.93,clear sky,0.0,0
267,Thinadhoo,MV,0.53,72.93,85.19,70,62,6.04,broken clouds,0.0,0
268,Suntar,RU,62.14,117.63,65.19,83,25,3.53,light rain,0.98,0
269,Aksu,CN,41.12,80.26,86.18,21,0,6.55,clear sky,0.0,0
270,Pauini,BR,-7.71,-66.98,87.51,54,0,0.85,clear sky,0.0,0
271,Luderitz,NA,-26.65,15.16,68.0,37,0,8.05,clear sky,0.0,0
272,Antofagasta,CL,-23.65,-70.4,55.4,66,90,10.29,overcast clouds,0.0,0
273,Wladyslawowo,PL,54.79,18.4,66.99,51,40,16.11,scattered clouds,0.0,0
274,Berea,US,41.37,-81.85,77.0,69,75,5.82,broken clouds,0.0,0
275,Yatou,CN,37.15,122.38,69.78,90,100,23.26,light rain,0.29,0
276,Nioro,GM,13.35,-15.75,85.75,69,100,10.78,moderate rain,2.15,0
277,Impfondo,CG,1.64,18.07,90.93,46,35,2.46,scattered clouds,0.0,0
278,Sabzevar,IR,36.21,57.68,90.68,15,76,20.89,broken clouds,0.0,0
279,Zaysan,KZ,47.47,84.87,66.9,48,89,3.78,overcast clouds,0.0,0
280,Kulu,TR,39.1,33.08,89.37,18,0,11.12,clear sky,0.0,0
281,Aklavik,CA,68.22,-135.01,48.2,76,75,6.93,broken clouds,0.0,0
